Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan200Metres;Equal to or less than 200 metres;Indicates if the altitude accuracy is equal to or less than 200 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan20Centimetres;Equal to or less than 20 centimetres;Indicates if the altitude accuracy is equal to or less than 20 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan20Metres;Equal to or less than 20 metres;Indicates if the altitude accuracy is equal to or less than 20 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan2Centimetres;Equal to or less than 2 centimetres;Indicates if the altitude accuracy is equal to or less than 2 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan2Metres;Equal to or less than 2 metres;Indicates if the altitude accuracy is equal to or less than 2 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan50Centimetres;Equal to or less than 50 centimetres;Indicates if the altitude accuracy is equal to or less than 50 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan50Metres;Equal to or less than 50 metres;Indicates if the altitude accuracy is equal to or less than 50 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan5Centimetres;Equal to or less than 5 centimetres;Indicates if the altitude accuracy is equal to or less than 5 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan5Metres;Equal to or less than 5 metres;Indicates if the altitude accuracy is equal to or less than 5 metres;;
Situation;AnimalPresenceTypeEnum;animalsOnTheRoad;Animals on the road;Traffic may be disrupted due to animals on the roadway.;;
Situation;AnimalPresenceTypeEnum;herdOfAnimalsOnTheRoad;Herd of animals on the road;Traffic may be disrupted due to a herd of animals on the roadway.;;
Situation;AnimalPresenceTypeEnum;largeAnimalsOnTheRoad;Large animals on the road;Traffic may be disrupted due to large animals on the roadway.;;
Situation;AnimalPresenceTypeEnum;smallAnimalsOnTheRoad;Small animals on the road;Small animals (that may fit underneath vehicle frames) are on the road;;
Situation;AnimalPresenceTypeEnum;wildAnimalsOnTheRoad;Wild animals on the road;Wild animals (not controlled by humans) are on the road;;
LocationReferencing;AreaPlacesEnum;atBorders;At borders;At national borders;;
LocationReferencing;AreaPlacesEnum;atHighAltitudes;At high altitudes;At high altitudes;;
LocationReferencing;AreaPlacesEnum;inBuiltUpAreas;In built up areas;In built up areas, i.e. villages, towns and cities;;
LocationReferencing;AreaPlacesEnum;inForestedAreas;In forested areas;On sections of the road where it runs through or adjacent to forested areas;;
LocationReferencing;AreaPlacesEnum;inGalleries;In galleries;In galleries;;
LocationReferencing;AreaPlacesEnum;inLowLyingAreas;In low lying areas;In low-lying areas;;
LocationReferencing;AreaPlacesEnum;inRuralAreas;In rural areas;In rural areas, i.e. outside villages, towns and cities;;
LocationReferencing;AreaPlacesEnum;inShadedAreas;In shaded areas;In shaded areas;;
LocationReferencing;AreaPlacesEnum;inTheInnerCityAreas;In the inner city areas;In the city centre areas;;
LocationReferencing;AreaPlacesEnum;inTunnels;In tunnels;In tunnels;;
LocationReferencing;AreaPlacesEnum;onBridges;On bridges;On bridges;;
LocationReferencing;AreaPlacesEnum;onDownhillSections;On downhill sections;On downhill sections of the road;;
LocationReferencing;AreaPlacesEnum;onElevatedSections;On elevated sections;On elevated sections of the road;;
LocationReferencing;AreaPlacesEnum;onEnteringOrLeavingTunnels;On entering or leaving tunnels;On entering or leaving tunnels;;
LocationReferencing;AreaPlacesEnum;onFlyovers;On flyovers;On flyover sections of the road, i.e. sections of the road which pass over another road;;
LocationReferencing;AreaPlacesEnum;onPasses;On passes;On mountain passes;;
LocationReferencing;AreaPlacesEnum;onUndergroundSections;On underground sections;On underground sections of the road;;
LocationReferencing;AreaPlacesEnum;onUnderpasses;On underpasses;On underpasses, i.e. sections of the road which pass under another road;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;activeRFIDChip;Active RFID chip;Phone (active RFID chip);;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;apps;Apps;Apps;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;calypso;Calypso;RFID Calypso;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;cashPayment;Cash payment;No specific authentication by using cash;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;creditCard;Credit card;Credit card;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;debitCard;Debit card;Debit card;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;mifareClassic;Mifare Classic;RFID Card / Phone NFC - Mifare Classic;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;mifareDesfire;Mifare DESFire;RFID Card / Phone NFC - Mifare Desfire;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;nfc;NFC;Nearfield communication;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;noAccess;No access;No access granted;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;overTheAir;Over the air;Over the air according to ISO 15118;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;phoneDialog;Phone dialog;phone (dialog with platform);;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;phoneSMS;Phone SMS;Phone (SMS);;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;pinpad;Pinpad;PINPAD;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;plc;PLC;PLC according to ISO 15118;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;prepaidCard;Prepaid card;Pre-Paid card;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;rfid;RFID;RFID;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;unlimitedAccess;Unlimited access;No authentication/identification required.;;
EnergyInfrastructure;AuthenticationAndIdentificationEnum;website;Website;Using a website;;
Situation;AuthorityOperationTypeEnum;accidentInvestigationWork;Accident investigation work;An operation involving authorised investigation work connected to an earlier reported accident.;;
Situation;AuthorityOperationTypeEnum;bombSquadInAction;Bomb squad in action;An operation where a bomb squad is in action to deal with suspected or actual explosive or incendiary devices which may cause disruption to traffic.;;
Situation;AuthorityOperationTypeEnum;civilEmergency;Civil emergency;A situation, perceived or actual, relating to a civil emergency which could disrupt traffic.  This includes large scale destruction, through events such as earthquakes, insurrection, and civil disobedience.;;
Situation;AuthorityOperationTypeEnum;customsOperation;Customs operation;A permanent or temporary operation established by customs and excise authorities on or adjacent to the carriageway.;;
Situation;AuthorityOperationTypeEnum;juridicalReconstruction;Juridical reconstruction;An operation involving the juridical reconstruction of events for the purposes of judicial or legal proceedings.;;
Situation;AuthorityOperationTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;AuthorityOperationTypeEnum;policeCheckPoint;Police check point;A permanent or temporary operation established on or adjacent to the carriageway for use by police or other authorities.;;
Situation;AuthorityOperationTypeEnum;policeInvestigation;Police investigation;A temporary operation established on or adjacent to the carriageway by the police associated with an ongoing investigation.;;
Situation;AuthorityOperationTypeEnum;roadOperatorCheckPoint;Road operator check point;A permanent or temporary operation established on or adjacent to the carriageway for use by the road operator, such as for survey or inspection purposes, but not for traffic management purposes.;;
Situation;AuthorityOperationTypeEnum;snowChainOnBoardOrSnowTyresMountedCheck;Snow chain on board or snow tyres mounted check;the police are checking if snow chains are on board vehicles or vehicles have snow tyres mounted;;
Situation;AuthorityOperationTypeEnum;snowChainOrSnowTyresMountedCheck;Snow chain or snow tyres mounted check;the police are checking if snow chains or snow tyres are mounted on vehicles;;
Situation;AuthorityOperationTypeEnum;survey;Survey;A permanent or temporary operation established by authorities on or adjacent to the carriageway for the purpose of gathering statistics or other traffic related information.;;
Situation;AuthorityOperationTypeEnum;transportOfVip;Transport of VIP;An operation to transport one or more VIPs.;;
Situation;AuthorityOperationTypeEnum;undefinedAuthorityActivity;Undefined authority activity;An authority activity of undefined type.;;
Situation;AuthorityOperationTypeEnum;vehicleInspectionCheckPoint;Vehicle inspection check point;A permanent or temporary operation established on or adjacent to the carriageway for inspection of vehicles by authorities (e.g. vehicle safety checks and tachograph checks).;;
Situation;AuthorityOperationTypeEnum;vehicleWeighing;Vehicle weighing;A permanent or temporary operation established on or adjacent to the carriageway for weighing of vehicles by authorities.;;
Situation;AuthorityOperationTypeEnum;weighInMotion;Weigh in motion;A permanent or temporary facility established by authorities on the carriageway for weighing vehicles while in motion.;;
EnergyInfrastructure;BioethanolTypeEnum;other;Other;Other, less common, types of Petrol with bioethanol.;;
EnergyInfrastructure;BioethanolTypeEnum;superE10;Super E10;Petrol with 10% bioethanol;;
EnergyInfrastructure;BioethanolTypeEnum;superE5;Super E5;Petrol with 5% bioethanol;;
EnergyInfrastructure;BioethanolTypeEnum;unknown;Unknown;The share of bioethanol is unknown.;;
Parking;CalculationTypeEnum;counted;Counted;Physical determination if a space is occupied;;
Parking;CalculationTypeEnum;derived;Derived;Space occupancy is estimated by using related data such as active payments or sold permits.;;
Parking;CalculationTypeEnum;expected;Expected;Future prediction of occupancy levels.;;
Parking;CalculationTypeEnum;verified;Verified;Defines an occupancy report that is considered a verified report.;;
Common;CalendarWeekWithinMonthEnum;fifthWeek;Fifth week;Fifth week of the month.;;
Common;CalendarWeekWithinMonthEnum;firstWeek;First week;Calendar week containing the first of the month. Several days of the first week of the month may occur in the previous calendar month. By construction, the last week of a preceding month can also be the first week of a subsequent month.;;
Common;CalendarWeekWithinMonthEnum;fourthWeek;Fourth week;Fourth week of the month.;;
Common;CalendarWeekWithinMonthEnum;lastWeek;Last week;Last calendar week within month, regardless of its actual number. The last calendar week is the week beginning with Monday and containing the last of the month.;;
Common;CalendarWeekWithinMonthEnum;secondWeek;Second week;Second week of the month.;;
Common;CalendarWeekWithinMonthEnum;sixthWeek;Sixth week;Sixth week of the month.;;
Common;CalendarWeekWithinMonthEnum;thirdWeek;Third week;Third week of the month.;;
Parking;CampusStatusEnum;allParkingsFull;All parkings full;All parking places within the specified area are full.;;
Parking;CampusStatusEnum;enoughSpacesAvailable;Enough spaces available;There are enough spaces available within the specified area.;;
Parking;CampusStatusEnum;multiStoreyParkingsFull;Multi storey parkings full;All multi storey parking sites within the specified area are full.;;
Parking;CampusStatusEnum;noMoreParkingSpacesAvailable;No more parking spaces available;There are no more parking spaces available within the specified area.;;
Parking;CampusStatusEnum;other;Other;Other.;;
Parking;CampusStatusEnum;unknown;Unknown;The status of the group of parking sites is unknown.;;
LocationReferencing;CarriagewayEnum;connectingCarriageway;Connecting carriageway;On the connecting carriageway.;;
LocationReferencing;CarriagewayEnum;cycleTrack;Cycle track;Independent road or part of a road designated for cycles, signposted as such. A cycle track is separated from other roads or other parts of the same road by structural means.;;
LocationReferencing;CarriagewayEnum;entrySlipRoad;Entry slip road;On the entry slip road.;;
LocationReferencing;CarriagewayEnum;exitSlipRoad;Exit slip road;On the exit slip road.;;
LocationReferencing;CarriagewayEnum;flyover;Flyover;On the flyover, i.e. the section of road passing over another.;;
LocationReferencing;CarriagewayEnum;footpath;Footpath;On the footpath;;
LocationReferencing;CarriagewayEnum;leftHandFeederRoad;Left hand feeder road;On the left hand feeder road.;;
LocationReferencing;CarriagewayEnum;leftHandParallelCarriageway;Left hand parallel carriageway;On the left hand parallel carriageway.;;
LocationReferencing;CarriagewayEnum;mainCarriageway;Main carriageway;On the main carriageway.;;
LocationReferencing;CarriagewayEnum;oppositeCarriageway;Opposite carriageway;On the opposite carriageway.;;
LocationReferencing;CarriagewayEnum;parallelCarriageway;Parallel carriageway;On the adjacent external parallel carriageway.;;
LocationReferencing;CarriagewayEnum;rightHandFeederRoad;Right hand feeder road;On the right hand feeder road.;;
LocationReferencing;CarriagewayEnum;rightHandParallelCarriageway;Right hand parallel carriageway;On the right hand parallel carriageway.;;
LocationReferencing;CarriagewayEnum;roundabout;Roundabout;On the roundabout.;;
LocationReferencing;CarriagewayEnum;serviceRoad;Service road;On the adjacent service road.;;
LocationReferencing;CarriagewayEnum;slipRoads;Slip roads;On the slip roads.;;
LocationReferencing;CarriagewayEnum;underpass;Underpass;On the underpass, i.e. the section of road passing under another.;;
LocationReferencing;CarriagewayEnum;unspecifiedCarriageway;Unspecified carriageway;On an unspecified carriageway;;
Situation;CauseTypeEnum;abnormalTraffic;Abnormal traffic;A traffic condition that is not normal.;;
Situation;CauseTypeEnum;accident;Accident;Accident.;;
Situation;CauseTypeEnum;animalPresence;Animal presence;An obstruction on the road resulting from the presence of animals;;
Situation;CauseTypeEnum;authorityOperation;Authority operation;Authority initiated operation or activity;;
Situation;CauseTypeEnum;constructionWork;Construction work;Roadworks involving the construction of new infrastructure.;;
Situation;CauseTypeEnum;disturbance;Disturbance;Deliberate human action of either a public disorder nature or of a situation alert type which could disrupt traffic.;;
Situation;CauseTypeEnum;drivingConditions;Driving conditions;Degraded driving conditions.;;
Situation;CauseTypeEnum;earlierEvent;Earlier event;An earlier event.;;
Situation;CauseTypeEnum;earlierIncident;Earlier incident;An earlier incident.;;
Situation;CauseTypeEnum;environmentalObstruction;Environmental obstruction;An obstruction on the road resulting from an environmental cause;;
Situation;CauseTypeEnum;equipmentOrSystemFault;Equipment or system fault;Equipment or system which is faulty, malfunctioning or not in a fully operational state;;
Situation;CauseTypeEnum;holidayTraffic;Holiday traffic;Holiday traffic.;;
Situation;CauseTypeEnum;infrastructureDamageObstruction;Infrastructure damage obstruction;An obstruction on the road resulting from the failure or damage of infrastructure on, under, above or close to the road;;
Situation;CauseTypeEnum;instructionToRoadUsers;Instruction to road users;Instruction and/or message issued by the network/road operator;;
Situation;CauseTypeEnum;networkManagement;Network management;Network management action which is applicable to the road network and its users.;;
Situation;CauseTypeEnum;nonWeatherRelatedRoadConditions;Non weather related road conditions;Road surface conditions that are not related to the weather;;
Situation;CauseTypeEnum;obstruction;Obstruction;Obstruction on the roadway.;;
Situation;CauseTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;CauseTypeEnum;poorEnvironment;Poor environment;Poor environmental conditions;;
Situation;CauseTypeEnum;problemsAtBorderPost;Problems at border post;Problems at the border crossing.;;
Situation;CauseTypeEnum;problemsAtCustomPost;Problems at custom post;Problems at the customs post on the border.;;
Situation;CauseTypeEnum;problemsOnLocalRoads;Problems on local roads;Problems (of an unspecified nature) on the local roads.;;
Situation;CauseTypeEnum;publicEvent;Public event;Organised public event;;
Situation;CauseTypeEnum;rerouting;Rerouting;Rerouting management action issued by the network/road operator;;
Situation;CauseTypeEnum;roadMaintenance;Road maintenance;Roadworks involving the maintenance or installation of infrastructure;;
Situation;CauseTypeEnum;roadOperatorServiceDisruption;Road operator service disruption;Disruption to normal road operator services;;
Situation;CauseTypeEnum;roadOrCarriagewayOrLaneManagement;Road or carriageway or lane management;Road, carriageway or lane management action instigated by the network/road operator;;
Situation;CauseTypeEnum;roadsideAssistance;Roadside assistance;Road side assistance;;
Situation;CauseTypeEnum;roadsideEvent;Roadside event;A roadside event (of unspecified nature) whether planned or not.;;
Situation;CauseTypeEnum;roadsideServiceDisruption;Roadside service disruption;Disruption to normal roadside services;;
Situation;CauseTypeEnum;rubberNecking;Rubber necking;Drivers being distracted and turning to look at an accident or other roadside event.;;
Situation;CauseTypeEnum;speedManagement;Speed management;Speed management action instigated by the network/road operator;;
Situation;CauseTypeEnum;technicalProblems;Technical problems;Technical problems.;;
Situation;CauseTypeEnum;transitServiceDisruption;Transit service disruption;Disruption to transit services of direct relevance to road users, e.g. connecting rail or ferry services;;
Situation;CauseTypeEnum;vandalism;Vandalism;A vandalism incident.;;
Situation;CauseTypeEnum;vehicleObstruction;Vehicle obstruction;An obstruction on the road caused by one or more vehicles.;;
Situation;CauseTypeEnum;weatherRelatedRoadConditions;Weather related road conditions;Road surface conditions related to the weather;;
Situation;CauseTypeEnum;winterEquipmentManagement;Winter equipment management;Winter driving management action instigated by the network/road operator;;
EnergyInfrastructure;ChargingModeEnum;ccs;CCS;Charging with a combined charging solution (CCS). AC and DC are used simultaneously.;;
EnergyInfrastructure;ChargingModeEnum;legacyInductive;Legacy inductive;Legacy-Inductive;;
EnergyInfrastructure;ChargingModeEnum;mode1AC1p;Mode 1, AC 1 phase;Mode 1, AC 1 phase;;
EnergyInfrastructure;ChargingModeEnum;mode1AC3p;Mode 1, AC 3 phase;Mode 1, AC 3 phases;;
