Namespace;Enumeration name;Definition
Common;VehicleEquipmentEnum;Types of vehicle equipment in use or on board.
Situation;VehicleObstructionTypeEnum;Types of obstructions involving vehicles.
Situation;VehicleProblemCauseEnum;The component of the vehicle that has caused a problem
Common;VehicleStatusEnum;The status of a vehicle.
EnergyInfrastructure;VehicleToGridCommunicationTypeEnum;A list of communication types for communication between vehicles and the grid.
Common;VehicleTypeEnum;Types of vehicle.
Common;VehicleUsageEnum;Types of usage of a vehicle.
Vms;VmsControllerFaultEnum;Types of variable message sign controller faults.
Vms;VmsFaultEnum;Types of variable message sign faults.
Vms;VmsTypeEnum;Type of variable message sign.
Common;WeatherRelatedRoadConditionTypeEnum;Types of road surface conditions which are related to the weather.
Common;WeightTypeEnum;Type of weight - describing the meaning of a vehicle weight value
Common;WinterEquipmentManagementTypeEnum;Instructions relating to the use of winter equipment.
Vms;WorkingStatusEnum;Identifies the working status of a VMS.

